"Quelle: Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW)";

"Beachten Sie bei der Verwendung des Downloads die Nutzungsbedingungen (http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf)";

"ohne Filterauswahl";

"Die Nutzungsdaten sind derzeit in einer Übergangsphase eingeschränkt vergleichbar, weil Angebote unterschiedliche Formen der Consent-Einholung verwenden. Die tatsächliche Nutzung eines Werbeträgers kann höher sein, als die durch die Consent-Einholung beeinflussten, ermittelten Werte. Aktuell arbeitet die IVW in Zusammenarbeit mit der INFOnline am Rollout eines neuen Messverfahrens, welches es dem Publisher ermöglicht, eine Vollerhebung mit einer anonymen Messung durchzuführen. Wir bitten dies bei der Nutzung der Daten zu berücksichtigen.";

"Hinweis: Tage, die nicht regelkonform gemessen wurden, werden nicht ausgewiesen!";

"online Visits:";20.831.087;
"online Visit-Anteil Inland:";84;
"online PIs:";80.031.332;
"online PI-Anteil Inland:";90;

"ausgewiesene Tage:";" 30/30";

"Bezeichnung:";"Chefkoch.de";
"FQDN:";"http://www.chefkoch.de";
"Anbieter:";"Chefkoch GmbH";

"";"online Kat-Visits November 2020";"online PIs November 2020";"online Kat-Visits Oktober 2020";"online PIs Oktober 2020";"online Kat-Visits September 2020";"online PIs September 2020";"online Kat-Visits August 2020";"online PIs August 2020";"online Kat-Visits Juli 2020";"online PIs Juli 2020";"online Kat-Visits Juni 2020";"online PIs Juni 2020";"online Kat-Visits Mai 2020";"online PIs Mai 2020";"online Kat-Visits April 2020";"online PIs April 2020";"online Kat-Visits MÃ¤rz 2020";"online PIs MÃ¤rz 2020";"online Kat-Visits Februar 2020";"online PIs Februar 2020";"online Kat-Visits Januar 2020";"online PIs Januar 2020";"online Kat-Visits Dezember 2019";"online PIs Dezember 2019";"online Kat-Visits November 2019";"online PIs November 2019";"online Kat-Visits Oktober 2019";"online PIs Oktober 2019";"online Kat-Visits September 2019";"online PIs September 2019";"online Kat-Visits August 2019";"online PIs August 2019";"online Kat-Visits Juli 2019";"online PIs Juli 2019";"online Kat-Visits Juni 2019";"online PIs Juni 2019";"online Kat-Visits Mai 2019";"online PIs Mai 2019";"online Kat-Visits April 2019";"online PIs April 2019";"online Kat-Visits MÃ¤rz 2019";"online PIs MÃ¤rz 2019";"online Kat-Visits Februar 2019";"online PIs Februar 2019";"online Kat-Visits Januar 2019";"online PIs Januar 2019";"online Kat-Visits Dezember 2018";"online PIs Dezember 2018";"online Kat-Visits November 2018";"online PIs November 2018";

"Erzeuger";
"   Redaktion";4.717.512;14.160.794;4.635.100;12.217.613;4.019.699;10.491.758;4.039.020;11.177.620;4.160.969;10.889.147;4.050.812;10.056.886;4.704.837;11.477.499;5.179.291;12.879.307;4.809.189;11.377.742;4.720.350;10.233.825;5.184.521;12.088.414;6.146.422;14.198.761;4.787.726;10.587.930;3.915.014;8.783.854;3.585.402;8.066.407;4.360.483;9.771.685;4.963.866;10.813.959;4.552.013;9.810.103;5.242.197;11.143.840;5.483.058;11.710.226;5.596.343;11.456.045;5.184.520;10.996.979;6.167.114;13.619.020;7.166.051;16.074.368;6.098.504;14.111.685;
"   User";18.389.152;65.830.892;16.890.694;58.224.329;13.955.339;46.899.034;14.306.667;47.439.710;15.252.435;49.999.784;14.982.722;49.801.573;18.263.944;63.072.810;21.047.210;73.592.136;19.311.624;69.282.297;16.036.016;61.927.616;17.131.267;66.279.896;22.678.266;86.986.220;19.103.657;74.391.789;18.454.590;71.763.140;16.103.183;61.073.971;16.045.160;62.914.198;16.176.053;65.468.986;14.705.099;58.116.473;17.094.068;69.755.991;17.634.623;70.751.364;18.366.575;75.898.764;16.935.925;72.392.757;20.054.127;87.684.551;26.224.492;118.765.309;21.683.172;100.031.944;
"   Unbekannt";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;

"Homepage";
"   Homepage des Angebots";1.675.097;2.188.922;1.579.698;2.061.449;1.304.870;1.690.694;1.287.801;1.661.147;1.354.639;1.735.671;1.410.304;1.790.573;1.784.990;2.274.788;1.902.275;2.432.133;1.718.678;2.192.552;1.508.649;1.935.255;1.627.212;2.121.271;1.893.935;2.423.576;968.232;1.253.247;195;228;233;263;704.846;923.799;1.608.407;2.120.824;1.458.292;1.906.267;1.807.839;2.350.837;1.802.513;2.342.590;1.909.057;2.472.042;1.803.668;2.367.557;2.125.884;2.800.083;2.436.947;3.133.122;2.169.904;2.844.507;
"   Keine Homepage";20.639.771;77.802.764;19.255.912;68.380.493;16.091.819;55.700.098;16.475.408;56.956.183;17.438.838;59.153.260;17.035.764;58.067.886;20.424.416;72.275.521;23.394.169;84.039.310;21.589.727;78.467.487;18.289.494;70.226.186;19.606.942;76.247.039;25.412.395;98.761.405;21.592.444;83.726.472;20.909.550;80.546.766;18.352.463;69.140.115;18.327.972;71.762.084;18.423.080;74.162.121;16.863.574;66.020.309;19.410.828;78.548.994;19.995.910;80.119.000;20.682.250;84.882.767;19.069.149;81.022.179;22.580.027;98.503.488;28.889.016;131.706.555;24.038.292;111.299.122;
"   Homepage der Fremddomains bei Multi-Angeboten";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;

"App";
"   App";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Keine App";20.814.097;79.991.686;19.419.897;70.441.942;16.233.561;57.390.792;16.607.733;58.617.330;17.577.767;60.888.931;17.180.632;59.858.459;20.607.165;74.550.309;23.568.903;86.471.443;21.762.027;80.660.039;18.454.903;72.161.441;19.774.342;78.368.310;25.577.974;101.184.981;21.679.859;84.979.719;20.909.698;80.546.994;18.352.628;69.140.378;18.430.390;72.685.883;18.647.582;76.282.945;17.077.946;67.926.576;19.667.737;80.899.831;20.245.879;82.461.590;20.938.534;87.354.809;19.310.967;83.389.736;22.867.055;101.303.571;29.168.982;134.839.677;24.305.173;114.143.629;

"Paid";
"   Paid";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   nicht zugeordnet";20.814.097;79.991.686;19.419.897;70.441.942;16.233.561;57.390.792;16.607.733;58.617.330;17.577.767;60.888.931;17.180.632;59.858.459;20.607.165;74.550.309;23.568.903;86.471.443;21.762.027;80.660.039;18.454.903;72.161.441;19.774.342;78.368.310;25.577.974;101.184.981;21.679.859;84.979.719;20.909.698;80.546.994;18.352.628;69.140.378;18.430.390;72.685.883;18.647.582;76.282.945;17.077.946;67.926.576;19.667.737;80.899.831;20.245.879;82.461.590;20.938.534;87.354.809;19.310.967;83.389.736;22.867.055;101.303.571;29.168.982;134.839.677;24.305.173;114.143.629;

"Inhalt";
"  Thema";
"   Nachrichten";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Sport";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Entertainment / Boulevard / Stars / Film / Musik";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Fashion / Beauty";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Familie / Kinder / Lebenshilfe";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Liebe / Psychologie / Beziehungen";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Fahrzeuge / Verkehr / Mobilität";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Reise / Touristik";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Computer";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Consumer Electronics";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Telekommunikation / Internetdienste";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Spiele";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Wohnen / Immobilien / Garten / Haushalt";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Wirtschaft / Finanzen / Job / Karriere";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Gesundheit";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Essen / Trinken";20.796.059;79.921.532;19.410.164;70.388.986;16.227.883;57.362.304;16.604.429;58.602.365;17.573.299;60.872.404;17.176.451;59.842.602;20.602.656;74.530.748;23.565.540;86.457.434;21.758.344;80.648.793;18.450.090;72.147.655;19.768.984;78.351.828;25.567.068;101.147.774;21.672.457;84.955.790;20.906.107;80.536.617;18.350.207;69.133.198;18.428.082;72.678.785;18.645.366;76.275.561;17.075.999;67.919.877;19.665.310;80.891.074;20.242.698;82.451.650;20.935.954;87.346.464;19.308.560;83.382.053;22.864.525;101.294.470;29.166.689;134.831.018;24.302.610;114.133.680;
"   Kunst / Kultur / Literatur";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Erotik";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Wissenschaft / Bildung / Natur / Umwelt";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Angebotsinformation";39.704;58.380;35.774;52.956;19.037;28.488;9.671;14.965;11.093;16.527;10.727;15.857;12.868;19.561;9.284;14.009;8.320;11.246;10.063;13.786;12.065;16.482;31.198;37.207;19.494;23.929;7.454;10.377;4.923;7.180;5.003;7.098;5.290;7.384;4.527;6.699;5.784;8.757;6.897;9.940;6.096;8.345;5.561;7.683;6.529;9.101;6.509;8.659;6.972;9.949;
"   Vermischtes (multithematisch)";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Sonstiges (monothematisch)";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"  Spiele";
"   Allgemeine Games-Seite";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Casual Games";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Core Games";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Sonstiges (Bereich Spiele)";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"  Networking / Kommunikation";
"   Social Networking - Privat";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Social Networking - Business";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Partnersuche / Dating";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Newsletter";7.781;11.774;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   E-Mail / SMS / E-Cards";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Messenger / Chat";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Sonstiges (Bereich Networking / Kommunikation)";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"  Suchmaschinen / Verzeichnisse";
"   Suchmaschinen";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Verzeichnisse / Auskunftsdienste";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Sonstiges (Bereich Suchmaschinen / Verzeichnisse)";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"  E-Commerce";
"   Onlineshops / Shopping Mall / Auktionen / B2B Marktplätze";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Immobilien Rubrikenmärkte / Kleinanzeigen";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Jobs Rubrikenmärkte / Kleinanzeigen";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Fahrzeuge Rubrikenmärkte / Kleinanzeigen";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Sonstiges Rubrikenmärkte / Kleinanzeigen";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Sonstiges (Bereich E-Commerce)";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
