Monat,Bezeichnung,Link,KatVisits,PIs,Quelle,Nutzungsbedingungen
202001,essen-und-trinken.de,http://www.essen-und-trinken.de,4304271,15055396,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
201912,essen-und-trinken.de,http://www.essen-und-trinken.de,6585277,30314439,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
201911,essen-und-trinken.de,http://www.essen-und-trinken.de,5125295,19542824,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
201910,essen-und-trinken.de,http://www.essen-und-trinken.de,4923481,19375599,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
201909,essen-und-trinken.de,http://www.essen-und-trinken.de,4359038,14844865,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
201908,essen-und-trinken.de,http://www.essen-und-trinken.de,4221839,13175786,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
201907,essen-und-trinken.de,http://www.essen-und-trinken.de,4354286,21286677,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
201906,essen-und-trinken.de,http://www.essen-und-trinken.de,4073481,16360096,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
201905,essen-und-trinken.de,http://www.essen-und-trinken.de,4751994,19863591,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
201904,essen-und-trinken.de,http://www.essen-und-trinken.de,5270800,26267637,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
201903,essen-und-trinken.de,http://www.essen-und-trinken.de,4966789,20889659,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
201902,essen-und-trinken.de,http://www.essen-und-trinken.de,4922413,21385690,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
201901,essen-und-trinken.de,http://www.essen-und-trinken.de,5696197,21511763,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
201812,essen-und-trinken.de,http://www.essen-und-trinken.de,7465335,33510286,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
201811,essen-und-trinken.de,http://www.essen-und-trinken.de,5872236,21517657,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
